,movie_id,movie_title,mpaa_rating,runtime,genre,star_rating,gross_revenue,budget
0,tt6751668,Parasite,R,132 min,"Comedy, Drama, Thriller",8.6,201055038,11363000
1,tt8946378,Knives Out,PG-13,131 min,"Comedy, Crime, Drama",8.0,163700000,40000000
2,tt2584384,Jojo Rabbit,PG-13,108 min,"Comedy, Drama, War",8.0,82468705,14000000
3,tt8579674,1917,R,119 min,"Drama, War",8.4,200483309,100000000
4,tt8367814,The Gentlemen,R,113 min,"Action, Comedy, Crime",8.1,48441089,18400000
5,tt5727208,Uncut Gems,R,135 min,"Crime, Drama, Thriller",7.6,47949353,0
6,tt7131622,Once Upon a Time... in Hollywood,R,161 min,"Comedy, Drama",7.7,374251247,95000000
7,tt7286456,Joker,R,122 min,"Crime, Drama, Thriller",8.6,1073698955,55000000
8,tt1950186,Ford v Ferrari,PG-13,152 min,"Action, Biography, Drama",8.2,220803003,97600000
9,tt7975244,Jumanji: The Next Level,PG-13,123 min,"Action, Adventure, Comedy",6.8,310830000,125000000
10,tt6924650,Midway,PG-13,138 min,"Action, Drama, History",6.7,123114406,100000000
11,tt6394270,Bombshell,R,109 min,"Biography, Drama",6.8,53774397,32000000
12,tt8772262,Midsommar,R,148 min,"Drama, Horror, Mystery",7.1,42291572,9000000
13,tt4520988,Frozen II,PG,103 min,"Animation, Adventure, Comedy",7.0,1330764959,33000000
14,tt6902676,Guns Akimbo,R,95 min,"Action, Comedy",6.6,0,0
15,tt3281548,Little Women,PG,135 min,"Drama, Romance",8.0,191540586,40000000
16,tt5606664,Doctor Sleep,R,152 min,"Drama, Fantasy, Horror",7.4,72281712,45000000
17,tt9026184,Girl on the Third Floor,NaN,93 min,"Drama, Horror, Mystery",4.7,0,0
18,tt9071322,Dark Waters,PG-13,126 min,"Biography, Drama, History",7.6,13601384,0
19,tt5033998,Charlie's Angels,PG-13,118 min,"Action, Adventure, Comedy",4.4,70960003,48000000
20,tt7984734,The Lighthouse,R,109 min,"Drama, Fantasy, Horror",7.7,15667104,4000000
21,tt1302006,The Irishman,R,209 min,"Biography, Crime, Drama",8.0,607420,159000000
22,tt8613070,Portrait of a Lady on Fire,R,122 min,"Drama, Romance",8.2,0,0
23,tt5073642,Color Out of Space,Unrated,111 min,"Horror, Sci-Fi",6.2,0,6000000
24,tt3224458,A Beautiful Day in the Neighborhood,PG,109 min,"Biography, Drama",7.4,0,4000000
25,tt6644200,A Quiet Place,PG-13,90 min,"Drama, Horror, Sci-Fi",7.5,340677200,17000000
26,tt6450804,Terminator: Dark Fate,R,128 min,"Action, Adventure, Sci-Fi",6.3,233685077,185000000
27,tt4154796,Avengers: Endgame,PG-13,181 min,"Action, Adventure, Drama",8.5,2797800564,356000000
28,tt7653254,Marriage Story,R,137 min,"Comedy, Drama, Romance",8.0,0,8600000
29,tt2527338,Star Wars: Episode IX - The Rise of Skywalker,PG-13,142 min,"Action, Adventure, Fantasy",6.8,1058056021,250000000
30,tt1598778,Contagion,PG-13,106 min,"Action, Drama, Sci-Fi",6.6,137551594,60000000
31,tt1979376,Toy Story 4,G,100 min,"Animation, Adventure, Comedy",7.8,1073394593,175000000
32,tt6105098,The Lion King,PG,118 min,"Animation, Adventure, Drama",6.9,1656943394,260000000
33,tt1706620,Snowpiercer,R,126 min,"Action, Drama, Sci-Fi",7.1,86758912,39200000
34,tt2066051,Rocketman,R,121 min,"Biography, Drama, Music",7.3,167323950,40000000
35,tt8688634,21 Bridges,R,99 min,"Action, Crime, Drama",6.6,47088457,33000000
36,tt5814534,Spies in Disguise,PG,102 min,"Animation, Action, Adventure",6.8,0,111000000
37,tt5503686,Hustlers,R,110 min,"Comedy, Crime, Drama",6.3,0,20000000
38,tt8106534,6 Underground,R,128 min,"Action, Adventure, Comedy",6.1,0,150000000
39,tt0437086,Alita: Battle Angel,PG-13,122 min,"Action, Adventure, Sci-Fi",7.3,404852543,170000000
40,tt7347846,The Lodge,R,108 min,"Drama, Horror, Thriller",6.6,1005439,0
41,tt1856101,Blade Runner 2049,R,164 min,"Action, Drama, Mystery",8.0,259239658,150000000
42,tt4126476,After,PG-13,105 min,"Drama, Romance",5.4,69497587,14000000
43,tt8722346,Queen & Slim,R,132 min,"Crime, Drama, Romance",7.0,46597100,20000000
44,tt8856470,Pokémon: Mewtwo Strikes Back - Evolution,TV-Y7,98 min,"Animation, Action, Family",5.9,0,0
45,tt1560220,Zombieland: Double Tap,R,99 min,"Action, Comedy, Horror",6.8,122801777,42000000
46,tt4846340,Hidden Figures,PG,127 min,"Biography, Drama, History",7.8,230698791,25000000
47,tt8130904,The Body,NaN,101 min,"Mystery, Thriller",5.5,0,0
48,tt2935510,Ad Astra,PG-13,123 min,"Adventure, Drama, Mystery",6.6,127175922,87500000
49,tt2091935,Mr. Right,R,95 min,"Action, Comedy, Romance",6.3,34694,8000000
50,tt8151874,Honey Boy,R,94 min,Drama,7.4,2242002,3500000
51,tt1386697,Suicide Squad,PG-13,123 min,"Action, Adventure, Fantasy",6.0,745600054,176000000
52,tt4777008,Maleficent: Mistress of Evil,PG,119 min,"Adventure, Family, Fantasy",6.7,491570967,85000000
53,tt2283362,Jumanji: Welcome to the Jungle,PG-13,119 min,"Action, Adventure, Comedy",6.9,962102237,90000000
54,tt6513120,Fighting with My Family,PG-13,108 min,"Biography, Comedy, Drama",7.1,39055536,11000000
55,tt1396484,It,R,135 min,Horror,7.3,700381748,35000000
56,tt7349950,It Chapter Two,R,169 min,"Drama, Fantasy, Horror",6.6,472093228,79000000
57,tt6139732,Aladdin,PG,128 min,"Adventure, Family, Fantasy",7.0,1047612394,183000000
